Cody Garbrandt,Dominick Cruz,Decision,Unanimous,John McCarthy,5,5:00,/fighter/Cody-Garbrandt-50381,/fighter/Dominick-Cruz-12107,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
T.J. Dillashaw,John Lineker,Decision,Unanimous,Herb Dean,3,5:00,/fighter/TJ-Dillashaw-62507,/fighter/John-Lineker-41906,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Dong Hyun Kim,Tarec Saffiedine,Decision,Split,John McCarthy,3,5:00,/fighter/Dong-Hyun-Kim-16374,/fighter/Tarec-Saffiedine-21912,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Ray Borg,Louis Smolka,Decision,Unanimous,Dan Miragliotta,3,5:00,/fighter/Ray-Borg-84752,/fighter/Louis-Smolka-64792,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Neil Magny,Johny Hendricks,Decision,Unanimous,John McCarthy,3,5:00,/fighter/Neil-Magny-69166,/fighter/Johny-Hendricks-24539,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Antonio Carlos Jr.,Marvin Vettori,Decision,Unanimous,Mark Smith,3,5:00,/fighter/Antonio-Carlos-Jr-143157,/fighter/Marvin-Vettori-80421,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Alex Garcia,Mike Pyle,KO,Punch,Dan Miragliotta,1,3:34,/fighter/Alex-Garcia-54124,/fighter/Mike-Pyle-4577,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Niko Price,Brandon Thatch,Submission,Arm-Triangle Choke,Mark Smith,1,4:30,/fighter/Niko-Price-96921,/fighter/Brandon-Thatch-22298,0016-10-28T00:00:00.000-05:17:32,UFC,UFC 207,Nunes vs. Rousey,"T-Mobile Arena, Las Vegas, Nevada, United States",http://www.sherdog.com/events/UFC-207-Nunes-vs-Rousey-55005
Mirko Filipovic,Muhammed Lawal,TKO,Punches,Yoshinori Umeki,2,1:41,/fighter/Mirko-Filipovic-2326,/fighter/Muhammed-Lawal-29858,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Kaido Hoovelson,Tsuyoshi Kosaka,Decision,Unanimous,Ryogaku Wada,2,5:00,/fighter/Kaido-Hoovelson-209985,/fighter/Tsuyoshi-Kosaka-190,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
Amir Aliakbari,Heath Herring,Decision,Unanimous,Ryogaku Wada,2,5:00,/fighter/Amir-Aliakbari-199121,/fighter/Heath-Herring-13,0016-10-18T00:00:00.000-05:17:32,Rizin,Rizin 3,Rizin Fighting World Grand Prix 2016: 2nd Round,"Saitama Super Arena, Saitama, Saitama, Japan",http://www.sherdog.com/events/Rizin-3-Rizin-Fighting-World-Grand-Prix-2016-2nd-Round-53683
